,Fiscal Year,Month,Water Delivery - City of St. Petersburg,Water Delivery - Pinellas County,Water Delivery - City of Tampa (Uniform),Water Delivery - Hillsborough County,Water Delivery - Pasco County,Water Delivery - City of New Port Richey,Water Delivery - Uniform Sales Total,Fixed Water Sales - City of St. Petersburg,Fixed Water Sales - Pinellas County,Fixed Water Sales - City of Tampa (Uniform),Fixed Water Sales - Hillsborough County,Fixed Water Sales - Pasco County,Fixed Water Sales - City of New Port Richey,Variable Water Sales - City of St. Petersburg,Variable Water Sales - Pinellas County,Variable Water Sales - City of Tampa (Uniform),Variable Water Sales - Hillsborough County,Variable Water Sales - Pasco County,Variable Water Sales - City of New Port Richey,TBC Delivery - City of Tampa,TBC Sales - City of Tampa
80,2026.0,6.0,792.3449459028269,1513.9048186837645,0.0,1975.957668098755,1051.4327300202685,90.01118780054667,5423.628199999999,1811965.7421247188,3372562.518521728,254947.6831564112,4403154.523903247,2209626.1821310925,193427.91240040664,318320.34881411924,608203.1726796586,0.0,793830.4363567788,422407.48187428986,36161.513802799134,46.689694915815835,9104.49050858409
81,2026.0,7.0,799.4654361062144,1481.7359504077258,0.0,1865.1337564873081,965.8747536075575,85.55175212138397,5197.7493,1811965.7421247188,3372562.518521728,254947.6831564112,4403154.523903247,2209626.1821310925,193427.91240040664,321180.96771121735,595279.5017159773,0.0,749307.5219575402,388035.0219547128,34369.95934379046,0.0,0.0
82,2026.0,8.0,796.2164,1452.1082,0.0,1844.5,954.0808,86.4683,5133.3737,1811965.7421247188,3372562.518521728,254947.6831564112,4403154.523903247,2209626.1821310925,193427.91240040664,319875.684813929,583376.7112796493,0.0,741018.0205271984,383296.8641035543,34738.17755725235,0.0,0.0
83,2026.0,9.0,763.482,1380.546,0.0,1797.723,917.538,82.46100000000001,4941.750000000001,1811965.7421247188,3372562.518521728,254947.6831564112,4403154.523903247,2209626.1821310925,193427.91240040664,306724.81450157036,554626.9797596865,0.0,722225.6106891932,368615.9894380508,33128.26619175566,0.0,0.0
84,2027.0,10.0,803.8827,1490.9946,38.5627,2018.3787000000002,1020.4642,87.2557,5459.5386,1786600.9539766444,3345730.613293836,23741.820238008677,4407767.429387865,2236789.8012724943,194554.29247419527,334271.7089378549,619987.6088378483,16035.19970047597,839285.2555886151,424330.95281674917,36282.79592727743,0.0,0.0
85,2027.0,11.0,772.9277104681055,1459.339775519263,409.81846807224287,1981.8381651155921,988.299329897234,84.4288509275623,5696.652300000001,1786600.9539766444,3345730.613293836,23741.820238008677,4407767.429387865,2236789.8012724943,194554.29247419527,321399.95880443393,606824.852287292,170411.32950964404,824090.9156167331,410956.10833133396,35107.331309923255,195.0,38025.0
86,2027.0,12.0,778.7262000000001,1452.8088,22.1064,1918.6079,955.7393000000001,82.1748,5210.1633999999995,1786600.9539766444,3345730.613293836,23741.820238008677,4407767.429387865,2236789.8012724943,194554.29247419527,323811.09541066346,604109.1322601596,9192.316374595193,797798.4120253726,397416.9479080333,34170.048475513206,90.0,17550.0
87,2027.0,1.0,765.8817524466776,1431.4839814152724,200.69416119463057,1834.5787050409178,918.7309973602534,80.77990254224838,5232.1495,1786600.9539766444,3345730.613293836,23741.820238008677,4407767.429387865,2236789.8012724943,194554.29247419527,318470.09798154637,595241.8142408683,83452.94684955712,762857.26625915,382028.1000471732,33590.020124367315,240.0,46800.00000000001
88,2027.0,2.0,717.6092000000001,1320.004,0.0,1694.3444000000002,856.2987999999999,75.32000000000001,4663.5764,1786600.9539766444,3345730.613293836,23741.820238008677,4407767.429387865,2236789.8012724943,194554.29247419527,298397.33288641105,548886.0413152368,0.0,704544.8273949475,356067.4501857477,31319.675267547405,45.0,8775.0
89,2027.0,3.0,807.9668312239121,1549.520457806691,47.74774814366322,2013.9301779798902,1023.0631123973518,90.38337244849201,5532.6117,1786600.9539766444,3345730.613293836,23741.820238008677,4407767.429387865,2236789.8012724943,194554.29247419527,335969.97850348125,644323.9187324343,19854.540183432975,837435.4644960716,425411.6364643044,37583.349371648445,90.0,17550.0
